mESCs_lnc:1110038B12Rik_hsa	Srrm2
mESCs_lnc:1110038B12Rik_hsa	Igsf3
mESCs_lnc:1110038B12Rik_hsa	Arf6
mESCs_lnc:1110038B12Rik_hsa	Rps2
mESCs_lnc:1110038B12Rik_hsa	Rps2
mESCs_lnc:1110038B12Rik_hsa	Rps2
mESCs_lnc:1110038B12Rik_hsa	Rps2
EFs_lnc:1110038B12Rik_hsa	Rpl18a
EFs_lnc:1110038B12Rik_hsa	Rpl18a
EFs_lnc:1110038B12Rik_hsa	Rpl18a
EFs_lnc:1110038B12Rik_hsa	Rpl18a
EFs_lnc:1110038B12Rik_hsa	Rpl18a
EFs_lnc:1110038B12Rik_hsa	Rpl18a
mESCs_lnc:1110038B12Rik_hsa	Rpl18a
mESCs_lnc:1110038B12Rik_hsa	Rpl18a
mESCs_lnc:1110038B12Rik_hsa	Rpl18a
mESCs_lnc:1110038B12Rik_hsa	Rpl18a
mESCs_lnc:1110038B12Rik_hsa	Rpl18a
mESCs_lnc:1110038B12Rik_hsa	Wdr89
mESCs_lnc:1110038B12Rik_hsa	Rpl27a
mESCs_lnc:1110038B12Rik_hsa	Rpl27a
mESCs_lnc:1110038B12Rik_hsa	Rpl27a
mESCs_lnc:1110038B12Rik_hsa	Rpl27a
mESCs_lnc:1110038B12Rik_hsa	Rpl27a
mESCs_lnc:1110038B12Rik_hsa	Rpl27a
mESCs_lnc:1110038B12Rik_hsa	Rpl27a
mESCs_lnc:1110038B12Rik_hsa	Rpl27a
mESCs_lnc:1110038B12Rik_hsa	Sfn
mESCs_lnc:1110038B12Rik_hsa	Sfn
mESCs_lnc:1110038B12Rik_hsa	Arf3
mESCs_lnc:1110038B12Rik_hsa	Gas5
mESCs_lnc:1110038B12Rik_hsa	Gas5
mESCs_lnc:1110038B12Rik_hsa	Gas5
mESCs_lnc:1110038B12Rik_hsa	Gas5
mESCs_lnc:1110038B12Rik_hsa	Gas5
mESCs_lnc:1110038B12Rik_hsa	Gas5
mESCs_lnc:1110038B12Rik_hsa	Gas5
mESCs_lnc:1110038B12Rik_hsa	Gas5
mESCs_lnc:1110038B12Rik_hsa	Gas5
mESCs_lnc:1110038B12Rik_hsa	Gas5
mESCs_lnc:1110038B12Rik_hsa	Gas5
mESCs_lnc:1110038B12Rik_hsa	Gas5
mESCs_lnc:1110038B12Rik_hsa	Dancr
mESCs_lnc:1110038B12Rik_hsa	Dancr
EFs_lnc:1110038B12Rik_hsa	Dancr
EFs_lnc:1110038B12Rik_hsa	Dancr
mESCs_lnc:1110038B12Rik_hsa	Dancr
EFs_lnc:1110038B12Rik_hsa	Rpl30
mESCs_lnc:1110038B12Rik_hsa	Gm7331
EFs_lnc:1110038B12Rik_hsa	Eif4a1
mESCs_lnc:1110038B12Rik_hsa	Eif4a1
mESCs_lnc:1110038B12Rik_hsa	Eif4a1
mESCs_lnc:1110038B12Rik_hsa	Eif4a1
mESCs_lnc:1110038B12Rik_hsa	Hist1h4a
mESCs_lnc:1110038B12Rik_hsa	Rps12
EFs_lnc:1110038B12Rik_hsa	Rps12
EFs_lnc:1110038B12Rik_hsa	Rps12
mESCs_lnc:1110038B12Rik_hsa	Rps12
mESCs_lnc:1110038B12Rik_hsa	Rps12
mESCs_lnc:1110038B12Rik_hsa	Rps12
EFs_lnc:1110038B12Rik_hsa	Gm26448
EFs_lnc:1110038B12Rik_hsa	Gm26448
mESCs_lnc:1110038B12Rik_hsa	Gm26448
mESCs_lnc:1110038B12Rik_hsa	Gm26448
mESCs_lnc:1110038B12Rik_hsa	Gm26448
mESCs_lnc:1110038B12Rik_hsa	Gm26448
mESCs_lnc:1110038B12Rik_hsa	Gm26448
mESCs_lnc:1110038B12Rik_hsa	Gm26448
mESCs_lnc:1110038B12Rik_hsa	Gm26448
mESCs_lnc:1110038B12Rik_hsa	Gm26447
mESCs_lnc:1110038B12Rik_hsa	Gm26447
mESCs_lnc:1110038B12Rik_hsa	Gm26447
mESCs_lnc:1110038B12Rik_hsa	Gm26447
mESCs_lnc:1110038B12Rik_hsa	Gm26447
mESCs_lnc:1110038B12Rik_hsa	Gm26447
mESCs_lnc:1110038B12Rik_hsa	Snora73a
mESCs_lnc:1110038B12Rik_hsa	Snora73a
mESCs_lnc:1110038B12Rik_hsa	Snora73a
mESCs_lnc:1110038B12Rik_hsa	Snora73a
mESCs_lnc:1110038B12Rik_hsa	Snora73a
mESCs_lnc:1110038B12Rik_hsa	Snora73a
mESCs_lnc:1110038B12Rik_hsa	Snora73a
mESCs_lnc:1110038B12Rik_hsa	Snora73a
mESCs_lnc:1110038B12Rik_hsa	Snora73a
mESCs_lnc:1110038B12Rik_hsa	Snora73a
mESCs_lnc:1110038B12Rik_hsa	Snora73a
mESCs_lnc:1110038B12Rik_hsa	Snora73a
mESCs_lnc:1110038B12Rik_hsa	Snora73a
mESCs_lnc:1110038B12Rik_hsa	Gm25588
mESCs_lnc:1110038B12Rik_hsa	Gm25588
mESCs_lnc:1110038B12Rik_hsa	Gm25588
mESCs_lnc:1110038B12Rik_hsa	Gm25588
mESCs_lnc:1110038B12Rik_hsa	Snord49b
mESCs_lnc:1110038B12Rik_hsa	Snord49b
mESCs_lnc:1110038B12Rik_hsa	Gm26224
mESCs_lnc:1110038B12Rik_hsa	Gm26224
mESCs_lnc:1110038B12Rik_hsa	Gm26224
