kinase	target
PRKDC	HNRNPU
PRKDC	CASP2
PRKDC	XRCC4
PRKDC	IGFBP3
PRKDC	USF1
PRKDC	XRCC1
PRKDC	HSP90AA1
PRKDC	PDX1
PRKDC	AKT1
PRKDC	HIST1H1C
PRKDC	NFKB1
PRKDC	IRF3
PRKDC	STK11
AURKA	HIST1H3A
AURKA	TP53
AURKA	TP73
AURKA	GSK3B
AURKA	DLGAP5
AURKA	DCTN1
AURKA	NEDD1
AURKA	MAP9
AURKA	FADD
AURKA	PIN1
AURKA	CDC25B
AURKA	NDEL1
AURKA	ESR1
AURKA	AR
AURKA	WWC1
AURKA	BCL2L11
AURKA	NUMA1
AURKA	CRMP1
AURKA	LATS2
AURKA	MAPRE3
AURKA	CENPA
AURKA	MYBBP1A
AURKA	RASSF1
AURKA	BRCA1
AURKA	MCM2
AURKA	CETN2
AURKA	TACC3
AURKA	CPEB1
AURKA	RALA
AURKA	MBD3
AURKA	PHLDA1
AURKA	FAF1
AURKA	GMNN
AURKA	VHL
AURKA	LIMK2
AURKA	PARD3
AURKA	ARPC1B
AURKA	AURKA
AURKA	PLK1
AURKB	HIST1H3A
AURKB	DES
AURKB	GFAP
AURKB	PLEC
AURKB	PTRF
AURKB	RB1
AURKB	TP53
AURKB	HDAC5
AURKB	VIM
AURKB	MYL12B
AURKB	DDX3X
AURKB	HMGN5
AURKB	MKI67
AURKB	CDCA5
AURKB	KRT8
AURKB	H3F3B
AURKB	WWC1
AURKB	AHNAK
AURKB	NUMA1
AURKB	NUSAP1
AURKB	ATM
AURKB	PRKDC
AURKB	ARHGAP21
AURKB	CCDC86
AURKB	UTP3
AURKB	DSN1
AURKB	NELFE
AURKB	CHMP4C
AURKB	SUPT16H
AURKB	MISP
AURKB	SSU72
AURKB	SSH3
AURKB	CDCA2
AURKB	PPHLN1
AURKB	MPHOSPH10
AURKB	KIF4A
AURKB	SHCBP1
AURKB	SH2D4A
AURKB	COBLL1
AURKB	SEPT1
AURKB	DDX52
AURKB	RPS10
AURKB	RPL8
AURKB	RPL21
AURKB	HMGN2
AURKB	DDA1
AURKB	RBMX
AURKB	RBM3
AURKB	DIAPH2
AURKB	DEK
AURKB	NSUN2
AURKB	CASC5
AURKB	MAPRE3
AURKB	CENPA
AURKB	CKAP2
AURKB	NAGK
AURKB	INCENP
AURKB	KIF2C
AURKB	AURKB
AURKB	LMO7
AURKB	RBM14
AURKB	RIF1
AURKB	MYBBP1A
AURKB	ATXN10
AURKB	NINL
AURKB	RACGAP1
AURKB	BIRC5
AURKB	CBX5
AURKB	YY1
AURKB	KIF23
AURKB	H3F3A
AURKB	RASSF1
AURKB	NDC80
AURKB	CDCA8
AURKB	HSP90AB1
AURKB	PARD3
AURKB	HIST1H2BB
CDK1	BAD
CDK1	RARA
CDK1	SRC
CDK1	MAPT
CDK1	RB1
CDK1	TP53
CDK1	NCOA3
CDK1	TOP1
CDK1	CREM
CDK1	PPP1R1A
CDK1	SLC9A3R1
CDK1	TMPO
CDK1	ELAVL1
CDK1	ADD1
CDK1	TP73
CDK1	VIM
CDK1	EPB41
CDK1	LMNB1
CDK1	PRDX1
CDK1	ABL1
CDK1	AAK1
CDK1	PI4KB
CDK1	LIG1
CDK1	RANGAP1
CDK1	RAD9A
CDK1	ZC3HC1
CDK1	DLGAP5
CDK1	GIGYF2
CDK1	TPX2
CDK1	TPR
CDK1	SUPT5H
CDK1	PML
CDK1	RUNX1
CDK1	DNMT1
CDK1	PPP1CA
CDK1	EZH2
CDK1	FOXO1
CDK1	BARD1
CDK1	CDC7
CDK1	DNM2
CDK1	DTL
CDK1	EFHD2
CDK1	GMPS
CDK1	IREB2
CDK1	KIF22
CDK1	LIG3
CDK1	MCM4
CDK1	NCL
CDK1	NUCKS1
CDK1	PAICS
CDK1	PDS5B
CDK1	PTPN2
CDK1	PYCR2
CDK1	RRM2
CDK1	SAMHD1
CDK1	SCML2
CDK1	TCOF1
CDK1	TK1
CDK1	UBE2A
CDK1	UNG
CDK1	ZC3H11A
CDK1	ZMYM3
CDK1	SIRT2
CDK1	MCM7
CDK1	HMGA1
CDK1	HIST1H1E
CDK1	UHRF1
CDK1	CDK7
CDK1	NUP98
CDK1	DDX3X
CDK1	HMGN5
CDK1	MKI67
CDK1	CD3EAP
CDK1	VCPIP1
CDK1	XPO1
CDK1	USP16
CDK1	USP14
CDK1	USP1
CDK1	UBXN2B
CDK1	UBE2I
CDK1	UBA1
CDK1	U2AF2
CDK1	TUBB
CDK1	TPP1
CDK1	TOP2B
CDK1	TFPT
CDK1	SSR1
CDK1	SETD8
CDK1	RGPD8
CDK1	RGPD6
CDK1	RGPD4
CDK1	RGPD3
CDK1	RFC1
CDK1	REPS2
CDK1	RCC1
CDK1	RAB4A
CDK1	RAB11FIP3
CDK1	PTTG2
CDK1	PIK3C2A
CDK1	PDIA3
CDK1	PBK
CDK1	ORC6
CDK1	OGFR
CDK1	ODF2
CDK1	NSFL1C
CDK1	NOLC1
CDK1	NCAPG
CDK1	MPLKIP
CDK1	MAP7
CDK1	LBR
CDK1	KMT2E
CDK1	KIF20B
CDK1	KIF11
CDK1	HMGCS1
CDK1	GSG2
CDK1	GAPVD1
CDK1	FANCG
CDK1	EPN1
CDK1	DUT
CDK1	DIAPH1
CDK1	DCTN6
CDK1	CUEDC2
CDK1	EEF1D
CDK1	HMGA2
CDK1	IL16
CDK1	SLBP
CDK1	STIP1
CDK1	RAB5B
CDK1	PKN2
CDK1	LDHA
CDK1	NME2
CDK1	NME1
CDK1	MYOD1
CDK1	DLG1
CDK1	CARHSP1
CDK1	CSNK2A1
CDK1	GATA2
CDK1	RGCC
CDK1	TERF1
CDK1	WEE1
CDK1	PTPN1
CDK1	DNM1L
CDK1	RPS3
CDK1	HNRNPK
CDK1	STMN1
CDK1	POLR2A
CDK1	FOXM1
CDK1	SOD2
CDK1	ANAPC1
CDK1	CDC16
CDK1	TEX14
CDK1	CDC23
CDK1	PRC1
CDK1	ANAPC4
CDK1	ERCC6L
CDK1	KAT7
CDK1	BUB1B
CDK1	SGOL1
CDK1	DCTN1
CDK1	NEDD1
CDK1	BORA
CDK1	CDC25B
CDK1	CDC25C
CDK1	NPM1
CDK1	ABI1
CDK1	CDCA5
CDK1	MCTS1
CDK1	NUP50
CDK1	STIM1
CDK1	PALLD
CDK1	PITPNM1
CDK1	UBAP2L
CDK1	UGDH
CDK1	NDEL1
CDK1	CEBPA
CDK1	CCNB1
CDK1	CEP55
CDK1	TOP2A
CDK1	AKAP12
CDK1	ITPR1
CDK1	ESPL1
CDK1	CANX
CDK1	MCL1
CDK1	SREBF1
CDK1	CTTN
CDK1	AR
CDK1	BCL2
CDK1	KRT8
CDK1	RUNX2
CDK1	SP1
CDK1	EGFR
CDK1	RPS6KB1
CDK1	RPTOR
CDK1	CASP9
CDK1	LMNA
CDK1	EIF4EBP1
CDK1	EIF4G1
CDK1	WWC1
CDK1	CASP8
CDK1	APLP2
CDK1	BCL2L11
CDK1	APP
CDK1	AHNAK
CDK1	NUMA1
CDK1	FOXK2
CDK1	CUX1
CDK1	FLNA
CDK1	IRS2
CDK1	EEF2K
CDK1	CLASP2
CDK1	NIFK
CDK1	KAT5
CDK1	AMPH
CDK1	SIRT1
CDK1	PIK3C3
CDK1	SYN3
CDK1	PIP5K1C
CDK1	BUB1
CDK1	NUSAP1
CDK1	HIF1A
CDK1	E2F1
CDK1	RPA2
CDK1	BLM
CDK1	UIMC1
CDK1	CHEK1
CDK1	MCM3
CDK1	TP53BP1
CDK1	CSNK2B
CDK1	FEN1
CDK1	RANBP2
CDK1	PHF8
CDK1	ING1
CDK1	SRRM2
CDK1	CDC25A
CDK1	MDM4
CDK1	MAP2K1
CDK1	CENPA
CDK1	CKAP2
CDK1	NAGK
CDK1	INCENP
CDK1	KIF2C
CDK1	NINL
CDK1	BIRC5
CDK1	CDC27
CDK1	MEF2C
CDK1	CREB1
CDK1	BRCA1
CDK1	MAP4
